ConceptID,ConceptId_Description
248358009,Weight for height (observable entity)
735395000,Current body weight (observable entity)
162763007,On examination - weight (finding)
43664005,Normal weight (finding)
363808001,Measured body weight (observable entity)
425024002,Body weight without shoes (observable entity)
162766004,On examination - weight within 10% ideal (finding)
424927000,Body weight with shoes (observable entity)
27113001,Body weight (observable entity)
