ETHNIC CATEGORY ID,ETHNIC CATEGORY LABEL
A,British
B,Irish
C,Any other White background
D,White and Black Caribbean
E,White and Black African
F,White and Asian
G,Any other mixed background
H,Indian
J,Pakistani
K,Bangladeshi
L,Any other Asian background
M,Caribbean
N,African
P,Any other Black background
R,Chinese
S,Any other ethnic group
T,Traveller
W,Arab
Z,Not stated
